id;title;slug;content;created_at;active
1;patientèle lorsque;du fait que sympathique gigantesque;../fake-data/blob/hipster.txt;2025-12-20T19:28:40;false
2;regrouper par suite de proche de;si adorable trop peu;../fake-data/blob/hipster.txt;2025-12-20T18:14:34;false
3;parcourir;rédaction entre-temps consulter;../fake-data/blob/hipster.txt;2025-12-20T20:57:02;false
4;diplomate;tellement présidence essayer;../fake-data/blob/hipster.txt;2025-12-20T11:57:09;true
5;guide;rédaction;../fake-data/blob/hipster.txt;2025-12-20T12:57:37;false
6;repasser moins cuicui;minuscule au-dessous afin que;../fake-data/blob/hipster.txt;2025-12-20T13:21:45;true
7;devant parce que;ouah en dehors de rassurer;../fake-data/blob/hipster.txt;2025-12-19T22:45:43;true
8;miaou;triangulaire paf;../fake-data/blob/hipster.txt;2025-12-19T21:35:51;true
9;tellement sage;fidèle admirablement;../fake-data/blob/hipster.txt;2025-12-20T07:31:07;true
10;personnel tchou tchouu;miaou percevoir pschitt;../fake-data/blob/hipster.txt;2025-12-20T17:46:32;false
