id;name;slug;description;logo_uri;website;active
1;cyan chut;malgré;fort sombre;sitôt que;assez entreprendre assurément;true
2;corps enseignant responsable;au cas où;sympathique recueillir obtenir;en decà de;grrr turquoise de façon à;true
3;sitôt que sur lorsque;reprendre après-demain drelin;plouf;trop peu;quand;true
4;quitte à jamais aux alentours de;émérite lectorat;novice drôlement sans doute;bien que aigre;tirer;false
5;vlan ding circulaire;hôte constater pratiquer;après que;rectorat;foule approximativement pourpre;true
6;sale;approximativement crac;jeune à défaut de;insipide;magenta svelte fidèle;true
7;immense meuh;quasiment;prout spécialiste;croâ;doucement;true
8;sitôt que;à travers;trop peu;sans;maigre vu que cocher;false
9;affirmer tant que;juriste conseil d’administration prévenir;soulager d’autant que;au point que;hôte;true
10;craindre étant donné que;sans que;si;police personnel;sitôt que;false
