id;name;slug;description;active
1;en faveur de après que diplomate;timide;réclamer suffisamment svelte;false
2;aigre insolite débile;quasi vider;errer pour;false
3;quand;absolument;vivace envers;false
4;responsable plouf;probablement depuis gigantesque;probablement lunatique;false
5;ouin guide;aspirer alentour adepte;comparer quoique antagoniste;false
6;pin-pon drelin évoquer;athlète;bon tandis que avare;true
7;d'abord;spécialiste;lunatique groin groin puisque;true
8;diététiste smack habile;si incalculable outre;sitôt propre mairie;true
9;après-demain si;approximativement;après que dispenser cyan;false
10;bien que dès;triathlète;tic-tac novice pendant que;false
