id;name;slug;description;composition;usage_advice;price;old_price;stock;sku;active;created_at;updated_at;meta_title;meta_description;views_count
1;vlan prévenir;en;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;21043.18;13612.8;16438;sauvage;true;2025-12-20T10:04:45;2025-12-20T01:49:33;proche;responsable corps enseignant environ;31736
2;incalculable encourager;dans la mesure où avant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32140.74;21681.74;998;tant ouin électorat;true;2025-12-20T20:35:00;2025-12-20T07:58:35;équipe de recherche dynamique lors de;visiter;26339
3;en dépit de tendre;conseil d’administration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11318.59;27077.62;14333;depuis;true;2025-12-19T22:31:23;2025-12-20T14:56:58;comme ouah rafraîchir;quoique du fait que;18658
4;fourrer avant que foule;police parfois;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;28279.52;7656.71;13100;commenter;false;2025-12-20T02:34:32;2025-12-20T03:11:17;apparemment vlan vaincre;arrière apparemment ding;25093
5;en guise de de crainte que;quand ?;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22947.44;28279.73;1683;au-dehors;false;2025-12-20T20:19:40;2025-12-19T22:32:23;sauf;trouver triathlète;22724
6;si vers;en guise de broum;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;28946.39;24450.52;30795;de manière à ce que;false;2025-12-20T14:45:05;2025-12-20T07:46:05;lorsque aussitôt que diététiste;nonobstant conseil d’administration afin que;20078
7;contrôler envelopper;de peur que;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22799.59;27257.92;29095;rapide via de manière à ce que;false;2025-12-19T23:23:01;2025-12-20T06:34:53;sage grâce à;deçà;16150
8;rectorat expliquer retracer;quant à diplomate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8483.85;27649.35;31601;fidèle parvenir coac coac;false;2025-12-20T11:28:56;2025-12-20T01:04:11;bien que arrêter;à côté de puis à condition que;5900
9;de manière à touchant de peur que;sincère;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;25522.86;27982.21;26308;proche;true;2025-12-19T23:06:08;2025-12-20T12:50:41;quelque mince splendide;hebdomadaire;32446
10;main-d’œuvre incognito;membre titulaire ah planter;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;26770.49;31370.38;4131;manger électorat causer;false;2025-12-20T16:19:55;2025-12-19T22:15:40;pourvu que;derrière chef tout à fait;22014
