id;label;price;stock;sku
1;d’autant que;19090.19;3599;de façon à ce que
2;plus corps enseignant énergique;30944.77;16744;alors que remarquer
3;cocorico ouin inscrire;1153.75;21721;carrément
4;déchirer frayer;1735.63;22019;contrarier également
5;lorsque;32154.4;24204;afin de paf nonobstant
6;sans que;23284.79;13849;euh
7;à l'exception de bang trop;15674.99;18547;comme
8;de par dégager;28943.48;19697;concentrer adversaire croâ
9;membre du personnel;2244.46;19541;briser absolument du moment que
10;ha subito;6356;12240;autour de de sorte que
