id;title;discount_percent;start_date;end_date;active
1;bof;79;2025-12-20T14:21:35;2025-12-20T00:51:10;true
2;adorable aboutir ensuite;71;2025-12-20T17:15:53;2025-12-20T15:28:10;false
3;dehors à force de franco;24;2025-12-20T06:17:01;2025-12-20T16:03:45;true
4;par rapport à même si;28;2025-12-20T16:42:46;2025-12-20T03:03:38;true
5;diététiste;26;2025-12-20T01:57:50;2025-12-20T00:18:07;true
6;triangulaire;50;2025-12-20T06:42:46;2025-12-20T03:10:04;false
7;entamer;90;2025-12-20T07:17:03;2025-12-20T21:07:11;true
8;tantôt jeune enfant remplacer;25;2025-12-20T03:26:03;2025-12-20T06:22:18;false
9;neutre profiter snob;1;2025-12-20T05:31:55;2025-12-20T17:35:01;false
10;favoriser également membre du personnel;64;2025-12-20T17:12:35;2025-12-20T20:05:25;true
